ref_id,case_id,source_type,source_id,description,is_duplicate
REF00001,CASE0051,FIR,FIR000248,Case reference linking FIR record FIR000248 to investigative file.,false
REF00002,CASE0043,FIR,FIR000263,Case reference linking FIR record FIR000263 to investigative file.,false
REF00003,CASE0012,Surveillance,SR00145,Case reference linking Surveillance record SR00145 to investigative file.,false
REF00004,CASE0003,Transaction,TXN003921,Case reference linking Transaction record TXN003921 to investigative file.,false
REF00005,CASE0034,Surveillance,SR00008,Case reference linking Surveillance record SR00008 to investigative file.,false
REF00006,CASE0048,CDR,CDR000976,Case reference linking CDR record CDR000976 to investigative file.,false
REF00007,CASE0054,Transaction,TXN000581,Case reference linking Transaction record TXN000581 to investigative file.,false
REF00008,CASE0006,CDR,CDR003651,Case reference linking CDR record CDR003651 to investigative file.,false
REF00009,CASE0055,CDR,CDR002301,Case reference linking CDR record CDR002301 to investigative file.,false
REF00010,CASE0001,CDR,CDR002376,Case reference linking CDR record CDR002376 to investigative file.,false
REF00011,CASE0005,CDR,CDR004901,Case reference linking CDR record CDR004901 to investigative file.,false
REF00012,CASE0055,CDR,CDR002026,Case reference linking CDR record CDR002026 to investigative file.,false
REF00013,CASE0016,FIR,FIR000033,Case reference linking FIR record FIR000033 to investigative file.,false
REF00014,CASE0033,Surveillance,SR00037,Case reference linking Surveillance record SR00037 to investigative file.,false
REF00015,CASE0009,CDR,CDR005926,Case reference linking CDR record CDR005926 to investigative file.,false
REF00016,CASE0003,Transaction,TXN001081,Case reference linking Transaction record TXN001081 to investigative file.,false
REF00017,CASE0035,CDR,CDR001676,Case reference linking CDR record CDR001676 to investigative file.,false
REF00018,CASE0018,FIR,FIR000252,Case reference linking FIR record FIR000252 to investigative file.,false
REF00019,CASE0012,CDR,CDR003426,Case reference linking CDR record CDR003426 to investigative file.,false
REF00020,CASE0023,CDR,CDR009476,Case reference linking CDR record CDR009476 to investigative file.,false
REF00021,CASE0057,Surveillance,SR00123,Case reference linking Surveillance record SR00123 to investigative file.,false
REF00022,CASE0025,Transaction,TXN004261,Case reference linking Transaction record TXN004261 to investigative file.,false
REF00023,CASE0032,Transaction,TXN002001,Case reference linking Transaction record TXN002001 to investigative file.,false
REF00024,CASE0052,CDR,CDR008301,Case reference linking CDR record CDR008301 to investigative file.,false
REF00025,CASE0002,CDR,CDR002601,Case reference linking CDR record CDR002601 to investigative file.,false
REF00026,CASE0053,Transaction,TXN003321,Case reference linking Transaction record TXN003321 to investigative file.,false
REF00027,CASE0015,Transaction,TXN004861,Case reference linking Transaction record TXN004861 to investigative file.,false
REF00028,CASE0044,CDR,CDR000526,Case reference linking CDR record CDR000526 to investigative file.,false
REF00029,CASE0047,CDR,CDR001576,Case reference linking CDR record CDR001576 to investigative file.,false
REF00030,CASE0001,FIR,FIR000156,Case reference linking FIR record FIR000156 to investigative file.,false
REF00031,CASE0016,Surveillance,SR00132,Case reference linking Surveillance record SR00132 to investigative file.,false
REF00032,CASE0035,CDR,CDR003201,Case reference linking CDR record CDR003201 to investigative file.,false
REF00033,CASE0047,Transaction,TXN001281,Case reference linking Transaction record TXN001281 to investigative file.,false
REF00034,CASE0041,Transaction,TXN000221,Case reference linking Transaction record TXN000221 to investigative file.,false
REF00035,CASE0027,CDR,CDR007726,Case reference linking CDR record CDR007726 to investigative file.,false
REF00036,CASE0011,CDR,CDR003101,Case reference linking CDR record CDR003101 to investigative file.,false
REF00037,CASE0053,Transaction,TXN000961,Case reference linking Transaction record TXN000961 to investigative file.,false
