reference_id,case_id,source_type,reference_text
REF00001,CASE0104,prior_case_link,Synthetic case reference record 1 for investigative cross-check.
REF00002,CASE0155,document_scan,Synthetic case reference record 2 for investigative cross-check.
REF00003,CASE0105,field_note,Synthetic case reference record 3 for investigative cross-check.
REF00004,CASE0141,field_note,Synthetic case reference record 4 for investigative cross-check.
REF00005,CASE0230,document_scan,Synthetic case reference record 5 for investigative cross-check.
REF00006,CASE0064,tip_off,Synthetic case reference record 6 for investigative cross-check.
REF00007,CASE0180,tip_off,Synthetic case reference record 7 for investigative cross-check.
REF00008,CASE0135,witness_statement,Synthetic case reference record 8 for investigative cross-check.
REF00009,CASE0147,prior_case_link,Synthetic case reference record 9 for investigative cross-check.
REF00010,CASE0184,field_note,Synthetic case reference record 10 for investigative cross-check.
REF00011,CASE0106,document_scan,Synthetic case reference record 11 for investigative cross-check.
REF00012,CASE0001,field_note,Synthetic case reference record 12 for investigative cross-check.
REF00013,CASE0081,lab_summary,Synthetic case reference record 13 for investigative cross-check.
REF00014,CASE0103,prior_case_link,Synthetic case reference record 14 for investigative cross-check.
REF00015,CASE0093,tip_off,Synthetic case reference record 15 for investigative cross-check.
REF00016,CASE0014,lab_summary,Synthetic case reference record 16 for investigative cross-check.
REF00017,CASE0052,prior_case_link,Synthetic case reference record 17 for investigative cross-check.
REF00018,CASE0240,prior_case_link,Synthetic case reference record 18 for investigative cross-check.
REF00019,CASE0169,tip_off,Synthetic case reference record 19 for investigative cross-check.
REF00020,CASE0190,prior_case_link,Synthetic case reference record 20 for investigative cross-check.
REF00021,CASE0132,field_note,Synthetic case reference record 21 for investigative cross-check.
REF00022,CASE0030,document_scan,Synthetic case reference record 22 for investigative cross-check.
REF00023,CASE0060,field_note,Synthetic case reference record 23 for investigative cross-check.
REF00024,CASE0004,witness_statement,Synthetic case reference record 24 for investigative cross-check.
REF00025,CASE0123,tip_off,Synthetic case reference record 25 for investigative cross-check.
REF00026,CASE0112,document_scan,Synthetic case reference record 26 for investigative cross-check.
REF00027,CASE0133,prior_case_link,Synthetic case reference record 27 for investigative cross-check.
REF00028,CASE0147,witness_statement,Synthetic case reference record 28 for investigative cross-check.
REF00029,CASE0032,witness_statement,Synthetic case reference record 29 for investigative cross-check.
REF00030,CASE0226,tip_off,Synthetic case reference record 30 for investigative cross-check.
REF00031,CASE0222,witness_statement,Synthetic case reference record 31 for investigative cross-check.
REF00032,CASE0107,lab_summary,Synthetic case reference record 32 for investigative cross-check.
REF00033,CASE0188,field_note,Synthetic case reference record 33 for investigative cross-check.
REF00034,CASE0055,tip_off,Synthetic case reference record 34 for investigative cross-check.
