fir_id,case_id,report_type
FIR00001,CASE0001,initial
FIR00002,CASE0002,initial
FIR00003,CASE0003,initial
FIR00004,CASE0004,initial
FIR00005,CASE0005,initial
FIR00006,CASE0006,initial
FIR00007,CASE0007,initial
FIR00008,CASE0008,initial
FIR00009,CASE0009,initial
FIR00010,CASE0010,initial
FIR00011,CASE0011,initial
FIR00012,CASE0012,initial
FIR00013,CASE0013,initial
FIR00014,CASE0014,initial
FIR00015,CASE0015,initial
FIR00016,CASE0016,initial
FIR00017,CASE0017,initial
FIR00018,CASE0018,initial
FIR00019,CASE0019,initial
FIR00020,CASE0020,initial
FIR00021,CASE0021,initial
FIR00022,CASE0022,initial
FIR00023,CASE0023,initial
FIR00024,CASE0024,initial
FIR00025,CASE0025,initial
FIR00026,CASE0210,initial
FIR00027,CASE0191,initial
FIR00028,CASE0091,initial
FIR00029,CASE0177,initial
FIR00030,CASE0157,initial
FIR00031,CASE0218,initial
FIR00032,CASE0204,initial
FIR00033,CASE0039,initial
FIR00034,CASE0194,initial
FIR00035,CASE0073,initial
FIR00036,CASE0170,initial
FIR00037,CASE0225,initial
FIR00038,CASE0029,initial
FIR00039,CASE0148,initial
FIR00040,CASE0183,initial
FIR00041,CASE0192,initial
FIR00042,CASE0156,initial
FIR00043,CASE0121,initial
FIR00044,CASE0197,initial
FIR00045,CASE0070,initial
FIR00046,CASE0114,initial
FIR00047,CASE0046,initial
FIR00048,CASE0231,initial
FIR00049,CASE0154,initial
FIR00050,CASE0087,initial
FIR00051,CASE0175,initial
FIR00052,CASE0132,initial
FIR00053,CASE0203,initial
FIR00054,CASE0126,initial
FIR00055,CASE0134,initial
FIR00056,CASE0159,initial
FIR00057,CASE0130,initial
FIR00058,CASE0078,initial
FIR00059,CASE0101,initial
FIR00060,CASE0228,initial
FIR00061,CASE0186,initial
FIR00062,CASE0236,initial
FIR00063,CASE0133,initial
FIR00064,CASE0071,initial
FIR00065,CASE0113,initial
FIR00066,CASE0217,initial
FIR00067,CASE0193,initial
FIR00068,CASE0214,initial
FIR00069,CASE0124,initial
FIR00070,CASE0042,initial
FIR00071,CASE0153,initial
FIR00072,CASE0112,initial
FIR00073,CASE0207,initial
FIR00074,CASE0059,initial
FIR00075,CASE0140,initial
FIR00076,CASE0174,initial
FIR00077,CASE0033,initial
FIR00078,CASE0125,initial
FIR00079,CASE0053,initial
FIR00080,CASE0052,initial
FIR00081,CASE0027,initial
FIR00082,CASE0096,initial
FIR00083,CASE0128,initial
FIR00084,CASE0155,initial
FIR00085,CASE0216,initial
FIR00086,CASE0173,initial
FIR00087,CASE0142,initial
FIR00088,CASE0226,initial
FIR00089,CASE0066,initial
FIR00090,CASE0031,initial
FIR00091,CASE0032,initial
FIR00092,CASE0167,initial
FIR00093,CASE0026,initial
FIR00094,CASE0187,initial
FIR00095,CASE0090,initial
FIR00096,CASE0057,initial
FIR00097,CASE0208,initial
FIR00098,CASE0089,initial
FIR00099,CASE0144,initial
FIR00100,CASE0055,initial
FIR00101,CASE0086,initial
FIR00102,CASE0205,initial
FIR00103,CASE0230,initial
FIR00104,CASE0085,initial
FIR00105,CASE0058,initial
FIR00106,CASE0092,initial
FIR00107,CASE0111,initial
FIR00108,CASE0233,initial
FIR00109,CASE0206,initial
FIR00110,CASE0035,initial
FIR00111,CASE0141,initial
FIR00112,CASE0202,initial
FIR00113,CASE0182,initial
FIR00114,CASE0162,initial
FIR00115,CASE0229,initial
FIR00116,CASE0050,initial
FIR00117,CASE0213,initial
FIR00118,CASE0081,initial
FIR00119,CASE0181,initial
FIR00120,CASE0129,initial
FIR00121,CASE0082,initial
FIR00122,CASE0103,initial
FIR00123,CASE0098,initial
FIR00124,CASE0069,initial
FIR00125,CASE0054,initial
FIR00126,CASE0120,initial
FIR00127,CASE0189,initial
FIR00128,CASE0188,initial
FIR00129,CASE0158,initial
FIR00130,CASE0179,initial
FIR00131,CASE0060,initial
FIR00132,CASE0064,initial
FIR00133,CASE0043,initial
FIR00134,CASE0136,initial
FIR00135,CASE0161,initial
FIR00136,CASE0093,initial
FIR00137,CASE0211,initial
FIR00138,CASE0180,initial
FIR00139,CASE0178,initial
FIR00140,CASE0100,initial
FIR00141,CASE0061,initial
FIR00142,CASE0084,initial
FIR00143,CASE0097,initial
FIR00144,CASE0099,initial
FIR00145,CASE0063,initial
FIR00146,CASE0163,initial
FIR00147,CASE0045,initial
FIR00148,CASE0240,initial
FIR00149,CASE0036,initial
FIR00150,CASE0237,initial
FIR00151,CASE0107,initial
FIR00152,CASE0221,initial
FIR00153,CASE0195,initial
FIR00154,CASE0105,initial
FIR00155,CASE0047,initial
FIR00156,CASE0190,initial
FIR00157,CASE0131,initial
FIR00158,CASE0146,initial
FIR00159,CASE0223,initial
FIR00160,CASE0076,initial
FIR00161,CASE0209,initial
FIR00162,CASE0200,initial
FIR00163,CASE0198,initial
FIR00164,CASE0044,initial
FIR00165,CASE0138,initial
FIR00166,CASE0165,initial
FIR00167,CASE0234,initial
