ownership_id,asset_type,asset_id,person_id,valid_from,valid_to
OWN00001,vehicle,V00716,P00089,2022-01-15,
OWN00002,phone,PH00019,P00772,2022-06-09,
OWN00003,vehicle,V00763,P00249,2023-05-04,
OWN00004,vehicle,V00180,P01426,2021-03-21,
OWN00005,phone,PH00924,P00547,2023-03-30,
OWN00006,bank_account,A00738,P00085,2020-04-10,
OWN00007,phone,PH01457,P01757,2018-10-03,
OWN00008,phone,PH01161,P00223,2023-09-15,
OWN00009,phone,PH00342,P00679,2021-12-08,
OWN00010,vehicle,V00621,P01933,2023-09-03,
OWN00011,bank_account,A01893,P01471,2018-11-14,
OWN00012,phone,PH02613,P00487,2023-12-19,
OWN00013,vehicle,V00266,P00035,2018-08-29,
OWN00014,phone,PH01315,P00690,2024-04-24,
OWN00015,vehicle,V00121,P01109,2022-06-03,
OWN00016,bank_account,A01399,P01753,2018-02-26,
OWN00017,bank_account,A00464,P01105,2023-10-13,
OWN00018,bank_account,A01634,P01415,2020-04-19,
OWN00019,bank_account,A01967,P01682,2023-11-20,
OWN00020,vehicle,V00207,P00959,2025-07-03,
OWN00021,bank_account,A01950,P00650,2023-06-03,
OWN00022,bank_account,A01560,P01494,2020-09-03,
OWN00023,phone,PH01846,P01348,2022-11-22,
OWN00024,phone,PH02292,P00199,2023-06-27,
OWN00025,vehicle,V00795,P00849,2023-12-06,
OWN00026,phone,PH01486,P01601,2019-03-24,
OWN00027,bank_account,A01885,P01676,2024-12-10,
OWN00028,vehicle,V00703,P00953,2021-11-08,
OWN00029,phone,PH01150,P01304,2024-06-20,
OWN00030,vehicle,V00337,P01555,2021-11-03,
OWN00031,phone,PH02608,P00855,2021-11-21,
OWN00032,phone,PH02610,P01584,2021-10-02,
OWN00033,vehicle,V00650,P00808,2025-10-19,
OWN00034,bank_account,A00275,P00309,2021-01-24,
OWN00035,vehicle,V00780,P00684,2022-07-21,
OWN00036,bank_account,A01813,P00017,2019-07-08,
OWN00037,bank_account,A00951,P01470,2018-01-07,
OWN00038,vehicle,V00005,P01690,2024-12-16,
OWN00039,bank_account,A00336,P00941,2023-03-22,
OWN00040,phone,PH00072,P01183,2023-01-30,
OWN00041,phone,PH02071,P01385,2019-06-09,
OWN00042,bank_account,A01729,P01533,2019-10-09,
OWN00043,vehicle,V00321,P01298,2024-06-08,
OWN00044,bank_account,A00950,P00441,2019-06-15,
OWN00045,vehicle,V00515,P00138,2022-02-14,
OWN00046,bank_account,A02140,P00478,2025-11-12,
OWN00047,vehicle,V00016,P00837,2025-09-01,
OWN00048,bank_account,A00564,P00952,2019-02-19,
OWN00049,phone,PH00577,P00051,2025-07-26,
OWN00050,bank_account,A01086,P01517,2024-10-14,
OWN00051,vehicle,V00822,P01034,2021-07-05,
OWN00052,vehicle,V00106,P00427,2024-04-02,
OWN00053,vehicle,V00792,P00947,2018-12-11,
OWN00054,bank_account,A01558,P00588,2021-03-31,
OWN00055,bank_account,A01097,P00102,2020-11-16,
OWN00056,bank_account,A01279,P00106,2022-04-22,
OWN00057,phone,PH00121,P01881,2022-01-20,
OWN00058,vehicle,V00091,P00904,2019-11-01,
OWN00059,bank_account,A00482,P01241,2023-11-15,
OWN00060,vehicle,V00704,P01297,2021-01-04,
OWN00061,vehicle,V00713,P01379,2024-06-23,
OWN00062,phone,PH00599,P01690,2022-05-04,
OWN00063,bank_account,A01932,P00769,2020-04-04,
OWN00064,phone,PH01054,P00292,2022-02-12,
OWN00065,vehicle,V00158,P01060,2023-01-13,
OWN00066,vehicle,V00100,P00106,2018-08-12,
OWN00067,bank_account,A01803,P00871,2019-01-06,
OWN00068,bank_account,A00973,P01687,2023-03-22,
OWN00069,vehicle,V00045,P01163,2025-10-05,
OWN00070,bank_account,A00796,P00207,2025-06-04,
OWN00071,bank_account,A00521,P01285,2018-08-01,
OWN00072,vehicle,V00439,P00327,2024-03-16,
OWN00073,phone,PH00530,P01970,2024-02-02,
OWN00074,vehicle,V00075,P01169,2025-10-18,
OWN00075,vehicle,V00381,P00430,2021-06-13,
OWN00076,vehicle,V00203,P01049,2022-04-27,
OWN00077,bank_account,A01758,P01555,2022-09-15,
OWN00078,bank_account,A00049,P01302,2020-10-11,
OWN00079,vehicle,V00069,P00487,2018-01-26,
OWN00080,vehicle,V00169,P01687,2019-01-23,
OWN00081,vehicle,V00702,P01744,2025-08-30,
OWN00082,vehicle,V00429,P00526,2019-08-01,
OWN00083,vehicle,V00615,P01377,2019-04-03,
OWN00084,phone,PH00915,P00851,2024-08-10,
OWN00085,bank_account,A00898,P01122,2024-03-22,
