relationship_id,person_id_a,person_id_b,relationship_type,case_id
REL00001,P01781,P00408,facilitator,CASE0201
REL00002,P01814,P01267,family,CASE0148
REL00003,P00929,P01233,employer,CASE0238
REL00004,P00779,P01699,employer,CASE0048
REL00005,P01495,P01331,business_partner,CASE0227
REL00006,P00542,P00055,employer,CASE0170
REL00007,P00207,P00690,tenant,CASE0181
REL00008,P01443,P01814,associate,CASE0143
REL00009,P01495,P01658,associate,CASE0112
REL00010,P00327,P00190,business_partner,CASE0230
REL00011,P00319,P01467,family,CASE0135
REL00012,P01658,P00319,family,CASE0203
REL00013,P01653,P00192,business_partner,CASE0240
REL00014,P00162,P01781,associate,CASE0074
REL00015,P01564,P00865,tenant,CASE0115
REL00016,P00199,P00748,employer,CASE0024
REL00017,P00286,P00408,associate,CASE0223
REL00018,P01035,P01765,employer,CASE0020
REL00019,P00728,P00779,facilitator,CASE0096
REL00020,P00866,P00741,associate,CASE0067
REL00021,P01653,P00865,employer,CASE0099
REL00022,P00776,P00741,associate,CASE0089
REL00023,P01099,P00094,business_partner,CASE0180
REL00024,P01183,P00256,family,CASE0097
REL00025,P01555,P00593,employer,CASE0079
REL00026,P01386,P00502,associate,CASE0157
REL00027,P00229,P01430,associate,CASE0124
REL00028,P01035,P01210,associate,CASE0180
REL00029,P00690,P01736,facilitator,CASE0112
REL00030,P00327,P00441,business_partner,CASE0028
REL00031,P00207,P01564,facilitator,CASE0196
REL00032,P01288,P00327,facilitator,CASE0179
REL00033,P00334,P00564,tenant,CASE0141
REL00034,P00697,P00741,tenant,CASE0031
REL00035,P01467,P01961,business_partner,CASE0173
REL00036,P00408,P01117,employer,CASE0029
REL00037,P00164,P00477,associate,CASE0089
REL00038,P00210,P01775,employer,CASE0112
REL00039,P01210,P01267,tenant,CASE0039
REL00040,P00477,P01993,business_partner,CASE0093
REL00041,P00164,P00458,business_partner,CASE0051
REL00042,P00394,P01150,business_partner,CASE0152
REL00043,P00256,P00458,business_partner,CASE0021
REL00044,P01653,P01517,tenant,CASE0073
REL00045,P00089,P00458,tenant,CASE0016
REL00046,P01509,P01961,facilitator,CASE0185
REL00047,P01207,P01386,employer,CASE0131
REL00048,P00705,P00162,facilitator,CASE0077
REL00049,P01651,P00776,family,CASE0172
REL00050,P01267,P01386,business_partner,CASE0046
REL00051,P01288,P00452,tenant,CASE0098
REL00052,P00860,P00542,facilitator,CASE0119
REL00053,P00055,P01555,tenant,CASE0131
REL00054,P00929,P00477,employer,CASE0240
REL00055,P01183,P01437,business_partner,CASE0056
REL00056,P00430,P01430,business_partner,CASE0168
REL00057,P01430,P00741,facilitator,CASE0098
REL00058,P00570,P00319,family,CASE0059
REL00059,P00164,P00690,business_partner,CASE0149
REL00060,P00089,P01331,associate,CASE0119
REL00061,P00394,P00256,business_partner,CASE0133
REL00062,P00143,P00430,facilitator,CASE0149
REL00063,P01765,P01233,family,CASE0123
REL00064,P01267,P00207,tenant,CASE0105
REL00065,P00408,P00452,facilitator,CASE0105
REL00066,P00601,P01437,business_partner,CASE0100
REL00067,P01467,P01775,associate,CASE0120
REL00068,P00705,P01210,tenant,CASE0067
REL00069,P01736,P00066,associate,CASE0053
REL00070,P01781,P00865,employer,CASE0035
REL00071,P00319,P00143,employer,CASE0210
REL00072,P01765,P01775,family,CASE0052
REL00073,P00920,P00062,employer,CASE0231
REL00074,P00920,P00066,family,CASE0234
REL00075,P01207,P00741,tenant,CASE0240
REL00076,P00570,P01781,business_partner,CASE0068
REL00077,P00286,P00748,family,CASE0188
REL00078,P00502,P01555,facilitator,CASE0128
REL00079,P01438,P01386,associate,CASE0194
REL00080,P00705,P00502,associate,CASE0237
REL00081,P01519,P01373,facilitator,CASE0173
REL00082,P00190,P01099,tenant,CASE0081
REL00083,P01210,P01519,tenant,CASE0115
REL00084,P00319,P00448,associate,CASE0118
REL00085,P00593,P00697,business_partner,CASE0169
REL00086,P01653,P01495,tenant,CASE0052
REL00087,P00094,P01709,business_partner,CASE0025
REL00088,P01699,P00256,family,CASE0008
REL00089,P00920,P00430,tenant,CASE0113
REL00090,P00143,P01131,facilitator,CASE0138
REL00091,P00190,P00748,tenant,CASE0048
REL00092,P00164,P01310,associate,CASE0097
REL00093,P01467,P01207,employer,CASE0086
REL00094,P00256,P01919,facilitator,CASE0203
REL00095,P00779,P01519,employer,CASE0073
REL00096,P00866,P00547,associate,CASE0236
REL00097,P00759,P01183,business_partner,CASE0228
REL00098,P01355,P00052,tenant,CASE0099
REL00099,P00865,P00430,associate,CASE0111
REL00100,P01765,P00593,tenant,CASE0232
REL00101,P01519,P01889,tenant,CASE0171
REL00102,P00776,P01509,family,CASE0088
REL00103,P00467,P00929,associate,CASE0207
REL00104,P00143,P00502,tenant,CASE0114
REL00105,P00690,P01373,employer,CASE0026
REL00106,P00865,P00542,business_partner,CASE0089
REL00107,P00920,P01658,tenant,CASE0008
REL00108,P00286,P00143,associate,CASE0203
REL00109,P00736,P00448,family,CASE0030
REL00110,P01035,P00593,associate,CASE0178
REL00111,P00094,P01183,tenant,CASE0229
REL00112,P01752,P00865,business_partner,CASE0132
REL00113,P01430,P00162,business_partner,CASE0145
REL00114,P01131,P00866,business_partner,CASE0176
REL00115,P00179,P01430,associate,CASE0183
REL00116,P00192,P01210,business_partner,CASE0148
REL00117,P01467,P01555,family,CASE0221
REL00118,P01302,P00430,employer,CASE0150
REL00119,P01131,P01267,business_partner,CASE0122
REL00120,P01699,P00062,tenant,CASE0067
REL00121,P01210,P00143,employer,CASE0146
REL00122,P01131,P01765,associate,CASE0007
REL00123,P00601,P00286,business_partner,CASE0172
REL00124,P00319,P01183,facilitator,CASE0098
REL00125,P01517,P00779,tenant,CASE0179
REL00126,P01961,P00728,family,CASE0188
